Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,1618.3429333333333,4388.155985948473,146.58955,19255912.95701542,3.399869051940895,136.1958,15477.9499,12
16KB,938.0217166666666,638.8752638990036,1174.44675,408161.6028220215,-0.21804984196954,142.1156,1695.1254,12
64KB,1601.1057833333334,1076.0923314387771,1591.83095,1157974.7057813432,0.5559097134208556,206.2856,3940.7086,12
256KB,4210.571635714286,7966.770422252162,1546.24435,63469430.96087188,2.834320516344158,285.9155,28993.7721,14
1MB,1552.0666307692309,1385.3239626925154,1519.2464,1919122.481610094,2.20183060376235,315.1078,5602.9299,13
4MB,2208.0706714285716,2675.1709435611474,1313.4634,7156539.577273839,2.3559796077667126,398.5,10200.1973,14
16MB,5682.410085714285,5252.260098416405,3217.8505999999998,27586236.141417105,1.3859939792628602,1145.0616,17455.8776,14
