Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,761.4228374999999,1711.1580737700824,223.96265,2928061.9534285385,3.710811427281918,77.3406,7029.7075,16
16KB,542.8540333333334,580.2849826480405,165.305,336730.66108683666,0.8723251142034035,102.3104,1565.5741,15
64KB,2375.0501666666664,5532.2182186410755,760.7228500000001,30605438.41866424,3.377019946105792,32.0511,19817.7669,12
256KB,728.1772500000001,608.2128549828478,403.1326,369922.8769663867,0.6815597323386541,64.2889,1918.6026,16
1MB,1698.1943214285714,1145.090158331442,1697.0322,1311231.4707075267,-0.031213664372479445,179.1,3596.9537,14
4MB,1081.602725,818.2522777897515,688.2724499999999,669536.7901081167,1.513305221203545,459.2275,3252.6303,16
16MB,5580.464733333333,7217.926079158925,2046.8762,52098456.88420253,2.0405932431865548,1366.7404,25448.0292,15
