Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,37.56767857142857,27.22829447852923,52.8371,741.3800202095052,-0.41928503755115604,3.0463,78.8444,14,1
16KB,186.4315142857143,122.70052575672486,128.53615,15055.4190209767,1.3491695743812178,52.7246,492.0456,14,1
64KB,389.2056800000001,141.75402479231005,337.329,20094.203544818854,0.7448451377562921,250.6401,623.763,15,0
256KB,422.2756866666666,160.36559795408056,394.1585,25717.12500716981,1.1570718600928431,264.331,824.6234,15,0
1MB,1122.36822,235.4250802146322,1007.523,55424.96839406601,0.7794207576804164,910.6954,1511.9625,15,0
4MB,3421.8064200000003,587.3493085611957,3580.4049,344979.2102673147,-0.17703185285715356,2510.0165,4229.903,15,0
16MB,8612.3204,1375.5249220898982,8193.5002,1892068.8112904201,0.19023206301134882,6457.4771,10857.3012,10,0
