Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,53.154377777777775,0.956365420194835,53.1249,0.9146348169444433,1.3726465352581796,52.2083,55.2444,9,6
16KB,220.15576000000001,137.65104670347614,186.7183,18947.810658562572,0.8954985584916074,52.551,551.2819,15,0
64KB,388.12085999999994,119.47272255131114,333.3107,14273.73143382257,0.6474878311392516,257.2222,591.7628,15,0
256KB,469.32492666666656,143.61461056173647,468.1668,20625.15636679923,0.5040931485189314,265.0617,788.8915,15,0
1MB,1245.1951666666669,289.8028062048982,1136.3476,83985.66648423379,0.6370451065152022,917.3386,1748.0071,15,0
4MB,3530.257913333333,684.4868675764474,3364.1137,468522.271884617,0.8933943954573078,2741.4323,5078.655,15,0
16MB,9611.7140875,565.8291077303753,9591.33625,320162.5791549527,-0.28120243244543375,8605.5759,10472.412,8,1
