Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,108.11178,5.21287044019149,108.1526,27.174018226222223,0.37563140021289076,101.204,117.2924,10,5
16KB,324.84257999999994,149.25568330978797,265.0409,22277.259000271715,0.884446778047258,105.9875,678.8415,15,0
64KB,563.5805333333334,233.27706205891943,482.8467,54418.18768284095,0.43120061572954005,153.6493,999.7962,15,0
256KB,638.5083,181.62676230553137,599.4569,32988.28078558999,0.20082293113895577,328.4858,927.7524,15,0
1MB,1712.8680066666666,354.7606369792686,1616.1244,125855.10954993639,0.6642610005631772,1296.2468,2310.4053,15,0
4MB,4502.049907142858,386.442912295125,4524.8516500000005,149338.12446313768,-0.3658989882543973,3705.7179,5134.1522,14,1
16MB,9884.080733333334,1555.9958985075255,9405.9248,2421123.236172241,1.2522595955474933,8623.2759,11623.0415,3,0
