Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,581.0954859375,1358.6731941745352,143.2821,1845992.8485684344,3.4922117386086615,28.3991,7483.9935,64
16KB,489.44198500000005,1405.1593706409474,142.048,1974472.8569000636,5.236165526028431,27.1339,9503.5186,60
64KB,775.8983830508473,2528.2240560205364,157.9867,6391916.877440931,6.728193141201869,34.7546,19014.5921,59
256KB,444.8820847457627,710.0774193068627,168.8175,504209.9414094941,3.4157096666531412,38.8585,4324.3032,59
1MB,795.7031703124999,1075.8082266316114,304.6208,1157363.3404882527,1.796556899272779,53.7044,4591.7691,64
4MB,653.0664639344263,810.926274419756,389.8364,657601.4225443054,1.9331032089578712,101.6905,3253.2972,61
16MB,1736.3794147540984,3483.146036116142,997.3868,12132306.308911594,6.420272866364979,318.2871,26714.3331,61
