Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,148.37465714285716,7.2537663140992095,147.7201,52.61712573956043,0.5943448759931302,139.7301,161.3164,14,2
16KB,141.20022307692307,3.6301350372389374,141.8112,13.17788038858974,0.32727159211608564,135.5732,147.8024,13,3
64KB,159.7838875,25.246843841475183,146.70265,637.4031239558334,1.1407478385356113,139.2739,211.099,16,0
256KB,156.94056923076923,11.001682170345939,153.5206,121.03701057730773,0.49990563229749224,141.6906,174.2868,13,3
1MB,208.35414375,61.270700272174345,176.03985,3754.098711842625,1.1553003510853703,159.5479,313.446,16,0
4MB,365.4724533333334,59.61001957185513,346.4333,3553.3544333569516,0.3421888122373505,288.4594,459.8403,15,1
16MB,1257.66245625,231.78945812557563,1174.97285,53726.352898147976,0.37650781099686953,963.063,1605.9118,16,0
