Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,316.4930666666667,117.38502029948083,311.6834,13779.242990709525,0.22085679551246476,126.7627,519.693,15,1
16KB,186.43774285714284,41.570596132227784,166.59935,1728.1144627887916,1.3011638175279354,147.5148,288.2296,14,2
64KB,193.80005625,57.192866525432684,172.14995,3271.0239813959583,0.9791322370388144,126.5442,321.644,16,0
256KB,214.3143375,66.28019734559109,188.50385,4393.064560170501,0.7696774839079691,120.3944,355.0998,16,0
1MB,503.6517066666666,106.00735622064472,496.4911,11237.559572890665,0.82000573017075,349.031,743.781,15,1
4MB,1737.96155,630.23452199545,1494.7543,397195.55271483335,0.6953715657970718,662.7175,2959.5396,16,0
16MB,6154.79366875,1801.5523570387743,6559.905049999999,3245590.895151963,0.19017127820588578,2815.7918,9941.5897,16,0
