Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,979.956318181818,1803.9108604474718,145.4969,3254094.3924403377,2.38622345575462,43.4205,5838.5916,11
16KB,161.42560666666668,383.87511003501504,45.3284,147360.10010439492,3.789660512468252,31.294,1540.1361,15
64KB,87.91091333333334,68.71705755802316,56.1069,4722.033999432667,1.609534516033327,42.3449,222.2005,15
256KB,116.99073999999997,91.96131260574278,75.8981,8456.883016171145,1.603178759614032,54.3347,294.2239,15
1MB,123.80786666666667,83.49773509305223,99.9114,6971.871765669525,2.1132424716305787,59.0986,326.4238,15
4MB,200.80656,109.69458763366454,153.6907,12032.90255611971,1.7435005344118062,111.2885,445.9052,15
16MB,576.0998933333334,208.48517796787124,477.5715,43466.06943229494,1.3562700543036583,384.0775,1027.7141,15
