Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,962.9952227272727,2087.8940500302965,141.46855,4359301.564151915,2.819145890991899,33.7944,8551.516,22
16KB,2131.0479699999996,6663.575102001665,108.16595,44403233.140016496,4.166404166417877,31.7616,29803.3748,20
64KB,4095.600444444444,7953.837640101835,1280.0104000000001,63263533.20510073,2.5210822416154923,36.4039,29316.6867,18
256KB,2557.532735,6195.288191127832,850.92905,38381595.77112796,4.087576283201845,42.8294,28141.0332,20
1MB,1214.9693714285715,1337.3870093301082,337.1588,1788604.0127249311,1.1862097010373616,56.5571,4817.1855,21
4MB,2420.862204347826,5658.984078725743,481.4125,32024100.803271446,4.118310146895208,99.6536,27082.2974,23
16MB,1743.0999681818182,1680.614016502442,997.4247,2824463.47246447,1.9667110957126703,297.5038,7408.6756,22
