Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,431.58931666666666,956.0897616305275,224.44619999999998,914107.632294719,4.4577424059146304,34.8934,4773.9155,24
16KB,145.219316,47.84879774938342,154.6711,2289.5074460614,-1.4892203449576789,31.4647,203.2996,25
64KB,177.362696,71.9010965701931,171.3325,5169.767687996234,-0.41338336390094627,42.1258,319.743,25
256KB,250.37170400000002,136.6276405508645,216.5323,18667.112162496236,1.2873271151356704,55.4019,656.3073,25
1MB,324.60949200000005,317.82481353598047,242.8371,101012.61209918075,2.8376892723227707,75.9171,1407.2542,25
4MB,669.4553960000001,688.4480543205544,475.6482,473960.72349775705,2.9681109094868052,210.8855,3076.9853,25
16MB,2050.15376,1847.7416982353268,1414.3638,3414149.38339757,3.174062514550887,689.9472,9522.8106,25
