Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,682.8731499999999,1975.0813323642885,213.43715,3900946.269453893,5.692284980682495,66.86,13927.6691,62
16KB,281.1512733333333,425.4980888057589,154.46685,181048.6235773535,2.1806678094981358,23.5464,1565.5741,60
64KB,739.2732392857142,2645.133751253335,176.0131,6996732.56201954,7.06870964009166,28.9986,19817.7669,56
256KB,343.5919499999999,443.47277244720976,191.9846,196668.09990201468,2.379789890956086,47.4659,1918.6026,62
1MB,1188.5046166666666,2011.3148114701294,328.66525,4045387.2708391217,4.948462639846044,138.5696,14347.5159,60
4MB,812.730264516129,684.4908590958545,517.6933,468527.73618578096,2.3857553136879805,347.3894,3252.6303,62
16MB,3081.712177419355,3877.1667318087552,1983.6349,15032421.866244584,4.392531218603577,1284.7228,25448.0292,62
