Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,853.9474127272728,2779.7089404807334,146.7196,7726781.793788521,4.830064144579278,135.2046,15477.9499,55
16KB,457.80355000000003,556.2175067549192,149.8601,309377.91482065857,1.3733750444863804,135.5732,1695.1254,52
64KB,665.7738307692307,837.6132496274131,198.69375,701595.955951395,1.782254836741014,139.2739,3940.7086,52
256KB,1397.3912301886792,4353.093725216275,266.5983,18949424.980517305,5.61732072825324,141.6906,28993.7721,53
1MB,783.4203283018869,951.7722570753156,315.1078,905870.4293382405,2.798717331822888,159.5479,5602.9299,53
4MB,1447.719446153846,2564.5289479502735,530.0127,6576808.724874936,4.310528012808068,288.4594,15665.6223,52
16MB,2861.7186452830188,3258.3565077309513,1798.3049,10616887.13147264,3.1571449233468454,905.357,17455.8776,53
