Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,334.4675163934426,377.2233269690782,252.5116,142297.43840962005,4.215139085830435,54.3888,2558.9347,61
16KB,925.9813017857143,2495.9354941810175,192.1396,6229693.99111264,4.199238768642491,34.4732,13551.6121,56
64KB,1599.0080321428572,4593.932174544445,187.7837,21104212.82431465,4.597168527766213,48.5332,28581.135,56
256KB,1238.0681509433962,4170.026865043608,249.9434,17389124.055185422,6.417994808590802,64.8331,29660.147,53
1MB,1331.2499421875,1221.6654476595909,623.1608,1492466.4660053088,0.9424034376940768,187.4977,4179.5559,64
4MB,2655.4998065573773,3708.181592761428,1876.3087,13750610.72489468,4.9537033645825375,570.6759,26131.561,61
16MB,5646.015098148148,2849.404032474061,5275.2607499999995,8119103.340279439,1.1834680968898914,1846.2439,16401.1859,54
