Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,53.32594000000001,33.52151319303982,62.8625,1123.691846751143,-0.6570647028139527,2.2839,95.475,15,0
16KB,300.53495333333325,116.27464576631772,322.1762,13519.793248082666,0.1459073084834005,123.1357,537.0091,15,0
64KB,323.1036076923077,54.44645264781508,334.6393,2964.4162059307696,-0.9345555479883196,203.3184,398.6666,13,2
256KB,483.7245785714285,71.03700272802769,483.41045,5046.255756581813,-0.13334760801623674,358.8067,592.725,14,1
1MB,1205.477273333333,251.9846185370802,1099.4352,63496.247979277825,1.0916930142221353,962.6322,1695.9327,15,0
4MB,3361.8966785714283,327.9635112467149,3346.0982000000004,107560.0647092741,0.4925717339342066,2891.1732,4000.042,14,1
16MB,11737.964583333334,6217.993135455613,8051.74995,38663438.63257312,0.9856738265958007,7378.6691,20503.507,6,0
