Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,38.837673333333335,28.668231928875723,52.1545,821.8675219278095,-0.07272824511376652,2.2039,96.2614,15,0
16KB,234.07985999999997,113.44566180846734,295.4426,12869.918183161144,-0.5201032259919308,51.833,410.5633,15,0
64KB,313.22807,16.984066860708005,312.938,288.45852712899983,-0.24162648027926253,282.1812,337.5863,10,5
256KB,523.04195,131.3311946660676,523.6011,17247.88269241654,0.20060697105157252,378.3025,716.9751,14,1
1MB,1364.703873333333,299.36002095151116,1322.869,89616.42214408921,1.0077582870649895,1015.5694,2109.615,15,0
4MB,3480.4471142857146,350.8516515707849,3557.13925,123096.88140994745,-0.7475521683295141,2751.6066,3930.7235,14,1
16MB,11754.05435,5516.7447988581835,9486.9585,30434473.17572882,0.6747242158388654,7066.1953,18793.6629,6,0
