Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,65.24488571428572,99.08478438837261,53.9078,9817.794497290288,2.8089724970197927,2.1912,420.303,21
16KB,196.93349523809525,143.66756128695675,129.3975,20640.368166141478,0.7900615545643305,3.5263,569.8324,21
64KB,313.22358571428566,182.55163880698328,314.3832,33325.100831115284,-0.03141181492884605,3.7207,674.8778,21
256KB,486.5230238095238,242.8918268512835,475.7488,58996.43955115388,0.05637227496385509,5.575,1048.8997,21
1MB,1132.5068318181818,484.68367754969495,1129.29385,234918.26728309665,-0.8235071660704322,11.243,1889.6182,22
4MB,3339.81050909091,1221.3357569323025,3514.3606,1491661.0311614,-1.7866878333157228,57.6745,4594.8922,22
16MB,9319.39383,1251.6977884295022,8998.77085,1566747.3535593068,0.010326586949007257,7013.0773,11319.4102,10
