Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,80.39210555555555,45.419132524449395,63.5193,2062.897599273497,0.6819508144213867,31.0201,161.0296,18,4
16KB,83.34470714285715,67.20757717816628,55.26765,4516.858430159175,1.4289387467335584,28.6618,243.8767,14,4
64KB,768.6414666666667,914.3969134022926,142.759,836121.7152396397,1.0404593728852514,38.1693,2630.4978,15,2
256KB,679.0785375,665.7491743927548,359.6269,443221.96320463455,0.5843145105380741,62.0891,1949.4183,16,0
1MB,1230.62259,1201.171155534847,1360.0828999999999,1442812.1448889195,0.9164093511139533,63.9685,4240.3893,20,0
4MB,820.5603421052632,857.1707921609059,415.6954,734741.7669337549,1.1025548698201157,105.3602,2956.856,19,0
16MB,1202.636638888889,861.633903337391,1044.93875,742412.9833804284,0.5999023761062431,334.1909,2679.362,18,1
