Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,47.068989473684205,42.07157764962494,51.5449,1770.0176459284207,1.2591075718505886,1.2644,207.1581,76,14
16KB,235.93587999999994,176.5785268427239,152.27435,31179.97614194656,0.8623472001914175,30.2485,721.1832,90,0
64KB,365.705695505618,136.72033230115636,327.2912,18692.449264538616,0.24943777760908292,47.122,660.648,89,1
256KB,460.9534724137931,133.33881259065734,441.4666,17779.23894308644,0.46367811676442866,264.2753,812.1261,87,3
1MB,1274.133013483146,335.33388230931234,1208.5746,112448.81262463573,0.609061885925375,718.3146,2108.7,89,1
4MB,3539.0630295454544,716.6682542627111,3497.8667,513613.3866679619,0.5538371196979194,2385.0049,5655.191,88,2
16MB,8650.227337931034,1388.2369284405977,8567.0015,1927201.769486185,0.3033386952268497,5930.7686,11706.0801,29,0
