Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,65.05816060606061,77.00983643219148,52.49955,5930.514907312886,1.876975745723102,1.9316,292.2326,66
16KB,224.25887575757574,147.20210594724944,185.14645000000002,21668.45999530525,0.5567371920574922,2.6593,569.0188,66
64KB,336.624443939394,153.4163145921762,312.46360000000004,23536.565583045576,0.0021862200435014477,3.321,619.7537,66
256KB,497.6837560606061,189.43773312733668,476.18280000000004,35886.65473242404,-0.08025417114137516,4.6931,1021.5605,66
1MB,1211.8163761194032,385.88308317875294,1183.7174,148905.75388354034,-0.8895141421734301,10.5623,2109.615,67
4MB,3412.3138882352937,925.753512358945,3485.2553,857019.5656449235,-1.7907407231929364,100.1343,5078.655,68
16MB,9862.380058064517,2618.9607817202836,9405.1807,6858955.57618892,2.437173011401723,7066.1953,18793.6629,31
