Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,156.6863772727273,87.47565480115259,157.69475,7651.990182890409,-0.21315443421102118,30.0419,283.3544,22,1
16KB,122.150125,54.85905386801035,146.13729999999998,3009.515791293261,-0.7979917498167671,30.9062,195.5484,24,0
64KB,155.76785416666667,82.31424251688573,157.02659999999997,6775.634521128678,-0.22091547456482152,39.5205,296.7676,24,0
256KB,195.92260416666667,129.11078544221147,167.829,16669.594917504764,0.9760894246931578,45.3042,566.5471,24,1
1MB,206.85902608695656,116.8469699066309,174.9446,13653.214376361107,0.39166834850530335,64.9236,410.3071,23,2
4MB,339.9330045454546,141.2871444371574,369.81425,19962.057183206172,0.09906060466590502,127.266,578.6194,22,3
16MB,945.6221761904761,328.86003417357193,1080.8989,108148.9220766429,-0.29525348288411557,455.8535,1391.7586,21,4
