Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,397.2880541666666,1071.694250081216,193.14325000000002,1148528.56565714,4.834643080858452,33.987,5408.4445,24
16KB,117.24784583333333,58.88580648849077,144.49105,3467.538205799982,-0.4936441541634545,32.5767,198.1719,24
64KB,166.17830833333335,105.58952531669168,156.7568,11149.147856604273,0.21530741153763852,38.2576,382.4618,24
256KB,234.315408,198.89581837852725,158.2904,39559.5465684641,1.157947496534169,40.5236,706.8433,25
1MB,283.717264,374.9486905441895,160.9216,140586.5205408024,2.599685119797479,52.2756,1520.9175,25
4MB,524.739764,810.5035219392839,349.7304,656915.9590759833,3.0416433113285626,103.3656,3255.0237,25
16MB,1526.7152749999998,2184.654537680049,985.7366,4772715.4490060285,3.072781835617743,338.3617,9525.1619,24
