Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size,Outliers
4KB,199.69860625,121.22088716258689,198.9032,14694.503484484625,0.78110644830694,66.86,455.6736,16,0
16KB,104.581825,68.0603620451679,127.03045,4632.2128817193325,-0.09184739770048675,24.3278,210.5696,16,0
64KB,122.975825,81.06546062860969,152.67065,6571.608906928667,0.0012622026958847908,28.9986,240.7303,16,0
256KB,144.22095000000002,90.83612829214303,135.0104,8251.202203106668,0.7097555266089569,52.2574,298.8553,16,0
1MB,231.7790875,90.62108213498574,193.63595,8212.180527315832,0.8616917018676982,143.336,410.2325,16,0
4MB,472.38199285714285,49.13438759652276,459.44195,2414.1880444853296,1.0643531755922984,386.4182,595.915,14,2
16MB,1771.5948153846152,178.16616733687516,1816.6536,31743.183183511403,-0.8798488941692978,1423.2721,1999.6478,13,3
