Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,653.5357333333333,1175.7652983104974,141.98770000000002,1382424.0367111731,2.6027612327828495,30.2417,4060.7747,12
16KB,2128.540144444444,3573.2626873401414,1312.475,12768206.232737288,2.444104126470475,29.1119,11126.3103,9
64KB,685.9958125,1190.7751841233598,141.38065,1417945.5391240215,2.16405105862077,42.7108,3399.8542,8
256KB,638.2042333333334,851.1068819902822,89.5244,724382.9245712201,1.0125034709495173,64.8633,2136.6691,9
1MB,2210.686336363636,1259.6105828116056,1875.1894,1586618.8203309928,0.24716204143090664,85.6927,4149.5658,11
4MB,766.1016454545454,672.5793493151947,696.7733,452362.98112525063,0.8055864228878408,123.2684,1943.125,11
16MB,2227.58126,1240.0653542661155,2302.06615,1537762.0828511466,0.17658377572050912,422.5635,4570.922,10
