Group,Mean,Std,Median,Variance,Skewness,Min,Max,Group size
4KB,69.26626879999999,91.13898107472157,51.2175,8306.313871338456,2.0020138425568312,1.4694,420.303,125
16KB,218.68420640000005,164.14364710222358,212.4282,26943.136884019314,0.6620444511086642,2.6593,731.9264,125
64KB,322.391556,212.8723399066894,307.7142,45314.633097349106,0.7904098311849326,3.321,1068.3056,125
256KB,503.4978272,261.64829079841604,481.1265,68459.82807773248,0.010943094175872668,4.6931,1133.7142,125
1MB,1169.0530315384615,555.7624310139491,1135.8215500000001,308871.8797265346,-0.21614028870064256,10.5623,2496.7904,130
4MB,3412.468757037037,1375.3188186393254,3563.8129,1891501.8529034697,-0.878944108644095,34.0462,7884.5766,135
16MB,10062.405049180326,2155.512233605447,9936.537,4646232.989222744,1.343698182332201,6717.2024,18851.8521,61
